6295-244435-0032:1.0,0.9638:0
5895-34615-0014:1.0,1.0:0
1988-147956-0021:1.0,0.9338:0
5338-284437-0033:1.0,1.0:0
251-137823-0011:1.0,0.9764:0
3081-166546-0000:1.0,0.9549:0
2428-83705-0034:0.895,0.9644:0
6295-64301-0017:1.0,0.8402:0
5338-284437-0004:0.9248,0.9682:0
6313-66129-0001:0.8587,0.8587:0
2035-147961-0024:1.0,0.9437:0
6241-61946-0008:1.0,0.9054:0
6295-244435-0006:1.0,1.0:0
777-126732-0014:1.0,0.8962:0
5694-64029-0015:0.9885,0.9651:0
3576-138058-0028:0.9459,0.9436:0
174-84280-0009:1.0,0.9236:0
251-136532-0021:1.0,1.0:0
2277-149897-0008:1.0,1.0:0
3576-138058-0032:1.0,1.0:0
5694-64025-0000:0.6667,0.6667:0
2902-9006-0007:0.9028,0.9046:0
251-137823-0005:0.9866,0.9866:0
5536-43359-0018:1.0,1.0:0
5694-64029-0012:1.0,0.9682:0
6241-61943-0023:1.0,0.8374:0
5895-34629-0007:0.8848,0.8758:0
5895-34629-0013:0.9106,0.8055:0
6295-64301-0014:1.0,0.9733:0
2078-142845-0036:1.0,0.8762:0
2078-142845-0022:1.0,1.0:0
5694-64038-0001:0.7915,0.9516:0
6241-61946-0018:1.0,1.0:0
1919-142785-0004:1.0,1.0:0
6313-76958-0021:0.9001,0.8654:0
1673-143397-0003:0.9554,0.8656:0
5694-64025-0001:1.0,0.9228:0
2078-142845-0042:0.911,0.8857:0
6345-93306-0021:1.0,0.8832:0
2902-9006-0008:0.9761,0.8658:0
5694-64038-0012:1.0,0.9382:0
422-122949-0016:1.0,1.0:0
1462-170145-0022:1.0,1.0:0
2078-142845-0018:1.0,0.9912:0
3170-137482-0032:1.0,1.0:0
3752-4944-0067:1.0,0.9669:0
6313-66125-0006:1.0,0.9309:0
2902-9008-0006:1.0,0.9355:0
6241-61946-0001:0.9029,0.8992:0
1988-24833-0007:1.0,0.9784:0
2035-147961-0008:1.0,0.9468:0
2086-149214-0001:1.0,1.0:0
652-129742-0003:1.0,0.9398:0
6319-64726-0000:1.0,0.9575:0
2277-149896-0034:1.0,1.0:0
2035-147960-0005:1.0,0.8434:0
2902-9008-0009:1.0,0.9369:0
2428-83699-0029:1.0,0.878:0
1988-147956-0005:1.0,1.0:0
1988-147956-0002:1.0,0.9795:0
777-126732-0073:1.0,0.8619:0
3853-163249-0016:1.0,0.9125:0
6241-61946-0004:1.0,1.0:0
3853-163249-0021:0.9845,1.0:0
3000-15664-0000:1.0,1.0:0
2277-149896-0002:1.0,0.8049:0
1673-143397-0020:0.9487,0.8936:0
6241-61946-0023:1.0,0.9208:0
777-126732-0068:1.0,0.5053:0
6313-66125-0019:0.9117,0.8589:0
2035-147961-0001:1.0,0.9471:0
1462-170138-0005:1.0,0.9344:0
2078-142845-0005:0.9474,0.9301:0
7850-111771-0000:1.0,0.9495:0
1673-143396-0007:1.0,0.9614:0
777-126732-0007:0.927,0.7997:0
6313-66129-0027:1.0,0.8243:0
1988-148538-0003:1.0,1.0:0
1988-148538-0004:0.9003,0.8609:0
3081-166546-0074:1.0,0.9254:0
777-126732-0001:0.9128,0.6984:0
2035-147961-0007:1.0,1.0:0
7850-111771-0008:1.0,1.0:0
174-84280-0014:0.9814,0.9814:0
6319-275224-0001:1.0,0.9509:0
3000-15664-0004:1.0,0.9917:0
3170-137482-0003:0.9744,0.9129:0
6319-64726-0010:1.0,0.8322:0
3752-4944-0003:1.0,0.9875:0
2086-149220-0049:1.0,0.8847:0
3853-163249-0017:1.0,1.0:0
1993-147964-0001:1.0,1.0:0
2803-154328-0018:0.881,0.8763:0
3000-15664-0036:1.0,1.0:0
2086-149220-0006:0.9726,0.9233:0
1673-143397-0015:0.9304,0.9265:0
1272-141231-0010:1.0,0.8091:0
2428-83699-0042:0.9809,0.9781:0
251-137823-0019:1.0,0.9465:0
1462-170142-0003:1.0,1.0:0
1462-170145-0019:1.0,1.0:0
251-137823-0026:1.0,0.9705:0
5338-284437-0005:1.0,0.9229:0
3853-163249-0008:1.0,1.0:0
3000-15664-0009:1.0,1.0:0
5338-284437-0030:1.0,1.0:0
3752-4944-0015:1.0,0.943:0
5536-43363-0011:1.0,1.0:0
1919-142785-0011:1.0,0.9792:0
6345-93302-0016:1.0,0.9809:0
2902-9008-0014:1.0,0.9722:0
2412-153954-0001:1.0,0.8889:0
2078-142845-0034:1.0,1.0:0
251-118436-0014:1.0,1.0:0
6313-76958-0028:0.9656,0.7837:0
6295-244435-0033:1.0,0.9525:0
5694-64025-0017:0.8573,1.0:0
777-126732-0022:1.0,0.5842:0
1462-170142-0019:0.9906,0.8334:0
5536-43358-0014:1.0,1.0:0
1272-141231-0031:0.9169,0.8814:0
3752-4944-0066:1.0,1.0:0
1272-141231-0001:0.9388,0.9361:0
1919-142785-0006:1.0,1.0:0
174-50561-0001:0.9419,0.8225:0
2086-149220-0040:0.9475,0.8562:0
3752-4944-0038:1.0,0.9787:0
1919-142785-0057:0.8568,0.8501:0
5694-64025-0008:1.0,1.0:0
6319-275224-0006:1.0,0.8518:0
1988-147956-0013:1.0,1.0:0
1988-147956-0006:0.8711,0.8386:0
652-129742-0004:1.0,0.873:0
2902-9008-0003:0.9067,0.9115:0
251-118436-0013:1.0,0.9803:0
3752-4943-0001:0.8963,0.9247:0
6313-66125-0013:0.986,0.9213:0
777-126732-0027:0.9655,0.859:0
5694-64029-0032:1.0,0.8219:0
3752-4944-0002:1.0,0.8726:0
3576-138058-0014:1.0,0.8764:0
1919-142785-0042:0.8253,0.776:0
2035-147960-0016:0.9922,0.9145:0
1988-148538-0013:0.8821,0.9028:0
5694-64038-0002:1.0,0.9298:0
5338-24640-0004:0.9409,0.9287:0
5895-34622-0017:1.0,0.9449:0
6295-64301-0013:1.0,0.9871:0
2428-83705-0020:1.0,0.9102:0
2086-149220-0004:0.9177,0.8835:0
5895-34622-0023:1.0,0.8718:0
6313-66125-0007:1.0,0.9695:0
5338-24615-0000:0.97,0.9587:0
6313-66129-0019:0.8852,0.8195:0
6319-275224-0014:1.0,0.8689:0
1272-141231-0021:1.0,0.9123:0
777-126732-0010:1.0,0.9358:0
5895-34629-0000:1.0,0.9457:0
1462-170145-0015:1.0,1.0:0
6313-76958-0018:0.8621,0.8219:0
5694-64029-0004:0.9548,0.8082:0
1919-142785-0055:1.0,0.8683:0
6345-64257-0005:1.0,0.929:0
777-126732-0041:0.9748,0.9095:0
5694-64029-0016:0.8635,0.8129:0
2078-142845-0019:1.0,0.9975:0
2902-9006-0004:1.0,0.9025:0
6295-244435-0015:1.0,1.0:0
3081-166546-0018:1.0,1.0:0
5694-64038-0007:1.0,1.0:0
6241-61943-0017:1.0,0.9028:0
777-126732-0060:0.8848,0.9021:0
2803-154328-0014:1.0,1.0:0
2803-154328-0012:1.0,0.9897:0
6319-275224-0017:1.0,0.9163:0
1988-147956-0014:1.0,0.9678:0
5895-34615-0005:1.0,0.852:0
777-126732-0080:1.0,0.9753:0
1272-141231-0000:1.0,1.0:0
6345-93306-0019:1.0,0.8258:0
422-122949-0003:1.0,0.9404:0
6313-76958-0019:0.9675,0.8317:0
6241-66616-0017:1.0,1.0:0
2428-83705-0039:1.0,0.8685:0
174-84280-0010:1.0,0.8964:0
6345-64257-0003:1.0,0.9284:0
652-130726-0006:1.0,0.9747:0
3000-15664-0025:1.0,0.9189:0
3536-8226-0014:1.0,0.971:0
1462-170142-0023:1.0,0.8599:0
6241-66616-0000:1.0,0.9254:0
2428-83699-0036:1.0,1.0:0
422-122949-0019:1.0,0.886:0
2412-153954-0017:1.0,0.8562:0
2078-142845-0001:1.0,0.0:0
2086-149220-0018:0.9223,0.907:0
6345-64257-0015:1.0,1.0:0
6345-93306-0000:0.9051,0.847:0
1462-170138-0023:1.0,0.8987:0
2078-142845-0020:0.9973,0.9224:0
7850-281318-0020:1.0,1.0:0
3000-15664-0030:1.0,1.0:0
3853-163249-0026:0.9379,0.8991:0
1919-142785-0041:1.0,0.9371:0
2412-153954-0003:0.8565,0.9932:0
3081-166546-0043:1.0,0.9763:0
1673-143397-0009:1.0,1.0:0
1673-143396-0020:0.9103,0.9119:0
7850-111771-0006:1.0,1.0:0
1462-170142-0038:1.0,1.0:0
174-168635-0006:1.0,0.9437:0
2412-153947-0013:0.8654,0.8579:0
2412-153954-0010:1.0,0.9216:0
174-168635-0013:1.0,0.9857:0
1993-147964-0002:0.9384,0.9585:0
3081-166546-0031:0.9546,1.0:0
3170-137482-0047:1.0,0.9469:0
5536-43358-0003:1.0,0.9393:0
2902-9008-0002:1.0,0.9961:0
1673-143396-0016:0.8573,0.8581:0
2035-147961-0026:1.0,1.0:0
3081-166546-0023:1.0,0.978:0
2086-149220-0025:1.0,0.9555:0
6313-66129-0035:1.0,0.9848:0
6295-244435-0019:1.0,1.0:0
6345-93306-0018:1.0,0.9628:0
1272-135031-0007:1.0,1.0:0
1993-147966-0001:1.0,0.9901:0
6319-275224-0016:1.0,0.8353:0
3081-166546-0042:1.0,1.0:0
2277-149896-0017:1.0,0.8874:0
1988-147956-0009:0.9426,0.8971:0
3576-138058-0022:0.9228,0.6755:0
1919-142785-0052:0.9535,0.9501:0
652-130726-0028:1.0,1.0:0
6345-64257-0008:1.0,1.0:0
1993-147149-0005:1.0,0.933:0
3752-4943-0021:1.0,0.9917:0
1988-24833-0023:0.8809,0.821:0
1919-142785-0054:0.8993,0.858:0
2428-83705-0042:1.0,1.0:0
2803-161169-0007:0.9451,0.9428:0
2277-149874-0016:1.0,0.9416:0
5694-64029-0026:1.0,1.0:0
3081-166546-0067:1.0,1.0:0
1462-170142-0037:1.0,0.9845:0
3576-138058-0023:0.989,0.8348:0
5895-34629-0009:1.0,0.949:0
1462-170142-0009:0.9874,0.9684:0
5694-64029-0000:0.9752,0.9133:0
5694-64029-0007:1.0,0.8441:0
5694-64025-0004:0.9767,0.8841:0
3576-138058-0017:0.9988,0.9129:0
2428-83699-0038:1.0,1.0:0
1919-142785-0032:1.0,1.0:0
2035-147961-0006:1.0,1.0:0
2086-149220-0027:0.9503,0.8262:0
1919-142785-0002:1.0,0.952:0
251-137823-0003:1.0,0.9032:0
3170-137482-0021:1.0,1.0:0
1673-143397-0013:1.0,0.9562:0
1993-147966-0006:0.9317,0.9317:0
3170-137482-0025:1.0,0.8471:0
3081-166546-0033:1.0,1.0:0
7850-281318-0022:1.0,1.0:0
2803-154320-0011:0.9045,0.9166:0
3752-4943-0020:1.0,1.0:0
6313-76958-0012:0.9429,0.9272:0
5895-34622-0018:1.0,0.9932:0
5338-284437-0018:1.0,0.9201:0
1919-142785-0048:1.0,0.9436:0
6313-76958-0011:1.0,0.9451:0
7850-111771-0007:1.0,0.894:0
5536-43359-0016:0.9258,0.9359:0
3081-166546-0020:1.0,0.9852:0
3752-4944-0021:1.0,0.9317:0
1462-170138-0003:1.0,1.0:0
777-126732-0069:1.0,0.7784:0
652-130737-0002:1.0,0.9388:0
2803-154328-0006:0.8637,0.8923:0
777-126732-0018:0.9078,0.6963:0
251-118436-0020:1.0,0.8504:0
652-130726-0000:1.0,0.8957:0
6241-61943-0011:1.0,0.9807:0
3081-166546-0017:0.9284,0.9356:0
6295-64301-0012:1.0,0.7569:0
5895-34629-0023:1.0,0.9412:0
2803-154328-0007:0.8341,1.0:0
1988-24833-0011:0.9921,0.9839:0
6345-93302-0019:1.0,1.0:0
251-136532-0015:1.0,1.0:0
5694-64029-0029:1.0,1.0:0
2428-83705-0018:1.0,0.9478:0
2277-149897-0026:1.0,0.9455:0
777-126732-0012:1.0,1.0:0
6241-66616-0004:0.9353,1.0:0
2412-153947-0006:1.0,0.9468:0
3000-15664-0015:0.9708,0.9224:0
652-130726-0004:0.9488,0.8924:0
2078-142845-0038:1.0,0.8854:0
6241-66616-0003:1.0,0.9054:0
3853-163249-0029:0.9346,0.9905:0
1673-143397-0008:0.8761,0.921:0
2035-147961-0027:1.0,1.0:0
777-126732-0081:1.0,1.0:0
3081-166546-0064:1.0,1.0:0
1462-170145-0014:1.0,1.0:0
2902-9006-0017:1.0,0.9044:0
3536-8226-0003:1.0,1.0:0
251-137823-0012:1.0,1.0:0
1462-170138-0026:0.8586,0.8586:0
652-130726-0011:0.9155,0.943:0
5338-24615-0009:0.9759,0.8549:0
3752-4944-0060:1.0,1.0:0
5694-64029-0024:1.0,0.9365:0
422-122949-0030:1.0,1.0:0
422-122949-0032:1.0,0.995:0
1988-147956-0024:1.0,0.9939:0
2803-161169-0005:0.9356,0.9175:0
2412-153954-0014:0.9589,0.8461:0
3081-166546-0050:1.0,1.0:0
2277-149897-0003:1.0,0.9881:0
3081-166546-0011:1.0,0.8966:0
251-137823-0025:1.0,1.0:0
2078-142845-0051:1.0,1.0:0
5895-34629-0026:1.0,1.0:0
3853-163249-0033:0.8702,1.0:0
2277-149896-0001:1.0,0.9495:0
3853-163249-0049:0.9303,0.9312:0
5338-284437-0024:1.0,0.8635:0
5338-284437-0016:1.0,0.8582:0
1993-147149-0030:1.0,0.9148:0
2078-142845-0050:1.0,0.9971:0
6313-66129-0017:1.0,0.8271:0
1272-135031-0022:1.0,1.0:0
5895-34615-0018:1.0,1.0:0
251-136532-0000:1.0,0.8457:0
3576-138058-0040:1.0,0.9385:0
1462-170142-0001:1.0,0.917:0
6313-66125-0023:0.9462,1.0:0
5536-43363-0005:0.9892,0.9672:0
5694-64038-0014:0.9467,0.9171:0
2428-83705-0023:1.0,0.916:0
1673-143397-0004:0.9955,0.9174:0
2086-149220-0007:1.0,0.9392:0
251-136532-0013:1.0,1.0:0
3752-4943-0010:1.0,0.9881:0
3081-166546-0036:1.0,0.9909:0
3853-163249-0014:1.0,1.0:0
2035-152373-0008:1.0,0.9772:0
2277-149897-0032:0.9649,0.9877:0
1988-24833-0001:0.9327,1.0:0
6295-64301-0022:1.0,0.9871:0
1462-170138-0027:1.0,1.0:0
2902-9006-0002:1.0,0.9294:0
5694-64029-0020:1.0,0.9135:0
1673-143396-0008:0.9612,0.9381:0
3752-4943-0027:1.0,0.8288:0
7850-281318-0003:1.0,1.0:0
5694-64029-0001:1.0,1.0:0
6345-93302-0015:1.0,0.9287:0
251-137823-0018:1.0,0.9452:0
6313-66125-0016:1.0,0.941:0
3081-166546-0077:1.0,0.9469:0
2428-83705-0043:1.0,1.0:0
6313-76958-0013:0.8366,0.8268:0
1988-147956-0010:1.0,1.0:0
5694-64038-0022:0.8851,0.8314:0
777-126732-0000:0.9109,0.4722:0
2035-147961-0018:1.0,1.0:0
2803-154328-0013:0.9848,0.8202:0
2803-154320-0008:1.0,1.0:0
2086-149220-0039:1.0,1.0:0
3752-4944-0050:1.0,0.9903:0
5338-24615-0012:1.0,0.9531:0
6319-57405-0005:1.0,1.0:0
2412-153948-0003:1.0,0.8895:0
3536-23268-0019:1.0,0.8556:0
2428-83699-0023:1.0,1.0:0
1272-141231-0025:1.0,0.8314:0
3752-4944-0026:1.0,0.9895:0
6295-64301-0004:1.0,1.0:0
3170-137482-0016:0.9425,0.9279:0
5536-43363-0019:0.9928,0.8978:0
6295-244435-0020:1.0,0.9764:0
6319-64726-0011:1.0,1.0:0
2035-152373-0013:1.0,0.9464:0
3752-4944-0040:1.0,1.0:0
6241-61946-0014:1.0,1.0:0
3170-137482-0014:0.9254,0.808:0
6345-93302-0006:1.0,1.0:0
3170-137482-0028:1.0,1.0:0
1993-147149-0019:1.0,0.9846:0
777-126732-0062:1.0,0.8074:0
1462-170142-0015:1.0,1.0:0
422-122949-0004:1.0,0.9962:0
251-118436-0001:1.0,1.0:0
174-50561-0013:0.9317,0.9529:0
2078-142845-0040:1.0,0.9256:0
5694-64038-0023:0.9882,0.9942:0
3000-15664-0017:1.0,0.9294:0
3752-4944-0044:1.0,0.8603:0
1993-147149-0015:0.957,0.8871:0
6345-93302-0010:1.0,1.0:0
1462-170145-0005:0.9743,1.0:0
2086-149220-0030:1.0,1.0:0
1462-170142-0040:1.0,1.0:0
652-129742-0013:0.9271,0.9207:0
6241-61943-0027:1.0,0.8622:0
6295-244435-0013:1.0,1.0:0
5694-64038-0004:0.9596,0.9561:0
3752-4944-0005:1.0,1.0:0
5536-43359-0000:1.0,0.9405:0
1272-128104-0011:0.8919,0.912:0
652-130726-0032:1.0,0.8577:0
3853-163249-0025:1.0,0.8675:0
6241-66616-0020:1.0,1.0:0
6319-57405-0001:0.9573,0.9693:0
5536-43363-0004:0.9773,0.9983:0
6313-66125-0026:1.0,1.0:0
777-126732-0011:0.9241,0.7308:0
2803-154328-0011:1.0,1.0:0
1919-142785-0031:1.0,1.0:0
1272-141231-0023:0.8528,0.8525:0
2428-83699-0010:0.9875,0.9697:0
6241-61943-0006:1.0,0.8805:0
3536-23268-0022:1.0,0.832:0
5694-64029-0010:1.0,0.9065:0
1272-135031-0009:1.0,1.0:0
1272-141231-0004:1.0,0.9316:0
1272-141231-0006:0.8443,0.8686:0
1462-170138-0002:0.9762,0.897:0
1462-170138-0010:0.9167,0.901:0
1462-170142-0005:1.0,0.9178:0
1462-170142-0013:1.0,1.0:0
1462-170142-0021:1.0,0.9466:0
1462-170142-0039:1.0,0.9279:0
1673-143396-0001:1.0,0.886:0
1673-143396-0018:1.0,0.8423:0
1673-143397-0000:1.0,0.9496:0
1673-143397-0002:1.0,0.9188:0
174-168635-0002:1.0,0.8633:0
174-168635-0003:1.0,1.0:0
174-168635-0004:0.9181,0.9084:0
174-168635-0011:1.0,0.9202:0
174-168635-0015:1.0,0.9396:0
174-50561-0006:0.9426,0.8512:0
174-50561-0008:0.9329,0.9135:0
174-50561-0009:1.0,1.0:0
174-84280-0002:0.9404,0.928:0
174-84280-0004:1.0,0.986:0
174-84280-0015:1.0,0.9903:0
1919-142785-0003:1.0,1.0:0
1919-142785-0022:1.0,1.0:0
1919-142785-0023:1.0,1.0:0
1919-142785-0030:1.0,1.0:0
1919-142785-0038:1.0,1.0:0
1919-142785-0044:1.0,0.9273:0
1919-142785-0061:1.0,0.9373:0
1988-147956-0011:1.0,1.0:0
1988-147956-0015:1.0,0.9951:0
1988-147956-0019:1.0,0.9139:0
1988-147956-0020:1.0,1.0:0
1988-147956-0027:1.0,0.9805:0
1988-147956-0029:1.0,1.0:0
1988-148538-0002:1.0,0.9646:0
1988-148538-0007:0.8522,0.7903:0
1988-148538-0008:1.0,0.9098:0
1988-148538-0014:1.0,0.8947:0
1988-24833-0004:1.0,0.9678:0
1988-24833-0008:1.0,1.0:0
1988-24833-0010:1.0,1.0:0
1988-24833-0015:1.0,1.0:0
1988-24833-0024:1.0,1.0:0
1993-147149-0010:1.0,0.9404:0
1993-147149-0011:1.0,0.9889:0
1993-147149-0017:1.0,0.812:0
1993-147149-0018:1.0,0.9359:0
1993-147149-0025:0.9009,0.9079:0
1993-147964-0009:1.0,1.0:0
1993-147965-0000:1.0,1.0:0
1993-147965-0002:1.0,0.944:0
1993-147966-0002:1.0,1.0:0
2035-147960-0004:1.0,1.0:0
2035-147960-0008:1.0,0.9474:0
2035-147961-0012:1.0,0.9461:0
2035-147961-0021:1.0,0.9534:0
2035-147961-0032:0.9437,0.9378:0
2035-147961-0034:1.0,1.0:0
2035-147961-0038:1.0,0.9684:0
2035-147961-0039:1.0,1.0:0
2035-152373-0010:1.0,0.9123:0
2035-152373-0016:1.0,0.8282:0
2035-152373-0018:1.0,0.9789:0
2078-142845-0007:1.0,0.9236:0
2078-142845-0010:1.0,1.0:0
2078-142845-0011:1.0,0.9694:0
2078-142845-0027:1.0,1.0:0
2078-142845-0028:1.0,1.0:0
2078-142845-0030:1.0,0.9277:0
2078-142845-0043:1.0,0.9818:0
2086-149220-0005:1.0,0.8494:0
2086-149220-0008:1.0,0.952:0
2086-149220-0022:0.9529,0.9052:0
2086-149220-0029:1.0,1.0:0
2086-149220-0034:0.9316,0.9692:0
2086-149220-0036:1.0,1.0:0
2086-149220-0043:1.0,1.0:0
2086-149220-0046:1.0,0.9427:0
2277-149874-0006:1.0,0.9892:0
2277-149874-0020:1.0,0.9645:0
2277-149896-0004:1.0,1.0:0
2277-149896-0005:1.0,0.9177:0
2277-149896-0007:1.0,0.9363:0
2277-149897-0005:0.9956,0.9381:0
2277-149897-0017:1.0,1.0:0
2277-149897-0021:1.0,0.8642:0
2277-149897-0028:1.0,1.0:0
2277-149897-0029:0.9751,1.0:0
2412-153947-0005:0.9664,0.9572:0
2412-153948-0011:1.0,0.9108:0
2412-153948-0012:0.892,0.8913:0
2412-153948-0015:1.0,0.9158:0
2412-153954-0006:1.0,0.8198:0
2412-153954-0012:1.0,1.0:0
2412-153954-0019:1.0,0.8424:0
2412-153954-0021:1.0,0.947:0
2428-83699-0002:1.0,1.0:0
2428-83699-0024:1.0,1.0:0
2428-83699-0025:1.0,0.9725:0
2428-83699-0028:0.8555,0.7729:0
2428-83699-0040:1.0,1.0:0
2428-83705-0003:1.0,1.0:0
2428-83705-0005:1.0,1.0:0
2428-83705-0009:1.0,1.0:0
2428-83705-0029:1.0,0.9921:0
2428-83705-0031:1.0,0.9813:0
2428-83705-0041:1.0,0.9949:0
251-118436-0008:1.0,0.9945:0
251-136532-0009:1.0,1.0:0
251-136532-0018:1.0,1.0:0
251-136532-0023:0.9204,0.925:0
251-137823-0021:1.0,0.9806:0
251-137823-0023:0.8847,1.0:0
2803-154320-0001:1.0,0.9077:0
2803-154320-0002:1.0,0.9753:0
2803-154328-0008:0.9614,1.0:0
2803-161169-0006:0.9939,0.9939:0
2803-161169-0013:1.0,0.9502:0
2902-9006-0000:1.0,0.9914:0
2902-9006-0001:1.0,0.9515:0
2902-9006-0013:0.9757,0.9141:0
2902-9008-0013:0.9929,0.9088:0
3000-15664-0010:1.0,0.9644:0
3000-15664-0021:1.0,0.9042:0
3000-15664-0024:0.9365,0.9077:0
3000-15664-0029:1.0,0.9653:0
3000-15664-0045:1.0,0.9324:0
3081-166546-0008:1.0,1.0:0
3081-166546-0019:1.0,1.0:0
3081-166546-0047:0.9871,0.957:0
3081-166546-0063:1.0,1.0:0
3081-166546-0080:0.9617,1.0:0
3170-137482-0012:1.0,0.9709:0
3170-137482-0020:1.0,1.0:0
3170-137482-0041:0.8382,1.0:0
3536-23268-0009:1.0,1.0:0
3536-23268-0026:1.0,1.0:0
3536-23268-0027:1.0,0.9803:0
3536-23268-0030:1.0,1.0:0
3536-8226-0022:1.0,0.9438:0
3576-138058-0012:0.9105,0.882:0
3576-138058-0015:1.0,0.9771:0
3576-138058-0019:1.0,0.9466:0
3576-138058-0030:0.8816,0.8968:0
3576-138058-0035:1.0,0.9591:0
3576-138058-0037:0.9662,0.8485:0
3752-4943-0024:1.0,0.9477:0
3752-4944-0000:1.0,0.9729:0
3752-4944-0001:1.0,1.0:0
3752-4944-0007:1.0,0.9484:0
3752-4944-0023:0.975,0.9482:0
3752-4944-0032:1.0,0.7759:0
3752-4944-0057:1.0,1.0:0
3752-4944-0064:1.0,0.9583:0
3853-163249-0002:0.9109,0.865:0
3853-163249-0005:1.0,0.9851:0
3853-163249-0006:0.9593,1.0:0
3853-163249-0011:1.0,1.0:0
3853-163249-0020:0.9839,1.0:0
3853-163249-0040:1.0,1.0:0
3853-163249-0041:1.0,0.9325:0
3853-163249-0053:1.0,0.9024:0
3853-163249-0054:0.9109,0.8991:0
422-122949-0014:0.874,0.8679:0
422-122949-0022:1.0,0.9827:0
422-122949-0023:0.8693,0.8693:0
422-122949-0025:1.0,0.9669:0
422-122949-0029:1.0,1.0:0
422-122949-0035:0.8958,0.9147:0
5338-24640-0008:0.9719,1.0:0
5338-284437-0000:1.0,0.9811:0
5338-284437-0002:1.0,1.0:0
5338-284437-0012:1.0,1.0:0
5338-284437-0031:1.0,0.9839:0
5536-43358-0000:1.0,0.9307:0
5536-43358-0002:0.9815,0.9524:0
5536-43358-0007:1.0,0.9507:0
5536-43358-0008:0.9086,0.696:0
5536-43358-0016:1.0,0.8971:0
5536-43359-0001:1.0,1.0:0
5536-43363-0000:0.9783,0.9135:0
5536-43363-0014:1.0,0.8969:0
5694-64025-0006:1.0,1.0:0
5694-64025-0019:1.0,0.9962:0
5694-64025-0022:1.0,0.8889:0
5694-64025-0023:0.9978,0.8596:0
5694-64029-0019:0.9739,0.9294:0
5694-64029-0028:0.9295,0.9183:0
5694-64038-0009:1.0,0.8723:0
5694-64038-0019:1.0,0.9572:0
5895-34615-0002:1.0,0.9066:0
5895-34615-0017:1.0,1.0:0
5895-34615-0019:1.0,1.0:0
5895-34622-0008:1.0,0.8441:0
5895-34622-0009:1.0,0.9601:0
5895-34622-0012:1.0,1.0:0
5895-34629-0010:1.0,1.0:0
5895-34629-0012:0.9244,0.9924:0
5895-34629-0017:1.0,0.9792:0
5895-34629-0018:1.0,1.0:0
5895-34629-0021:0.9424,0.934:0
5895-34629-0029:1.0,1.0:0
6241-61946-0007:1.0,1.0:0
6241-61946-0021:1.0,1.0:0
6295-244435-0001:0.8633,0.8161:0
6295-244435-0010:1.0,1.0:0
6295-244435-0011:1.0,1.0:0
6295-244435-0040:1.0,0.9328:0
6295-64301-0001:1.0,1.0:0
6295-64301-0009:1.0,1.0:0
6295-64301-0018:1.0,0.9068:0
6295-64301-0023:1.0,0.889:0
6313-66125-0005:1.0,0.9242:0
6313-66125-0014:0.8825,0.7644:0
6313-66125-0015:0.9199,0.916:0
6313-66125-0025:1.0,0.8535:0
6313-66129-0000:1.0,0.921:0
6313-66129-0026:0.8715,0.8662:0
6313-76958-0004:1.0,0.9412:0
6313-76958-0006:0.8266,0.9926:0
6313-76958-0029:0.7931,0.818:0
6319-275224-0000:1.0,0.9257:0
